image path,class id
0/000000,0
0/000001,0
0/000002,0
0/000003,0
0/000004,0
0/000005,0
0/000006,0
0/000007,0
0/000008,0
0/000009,0
0/000010,0
0/000011,0
0/000012,0
0/000013,0
0/000014,0
0/000015,0
0/000016,0
0/000017,0
0/000018,0
0/000019,0
0/000020,0
0/000021,0
0/000022,0
0/000023,0
0/000024,0
0/000025,0
0/000026,0
0/000027,0
0/000028,0
0/000029,0
0/000030,0
0/000031,0
0/000032,0
0/000033,0
0/000034,0
0/000035,0
0/000036,0
0/000037,0
0/000038,0
0/000039,0
0/000040,0
0/000041,0
0/000042,0
0/000043,0
0/000044,0
0/000045,0
0/000046,0
0/000047,0
0/000048,0
0/000049,0
0/000050,0
0/000051,0
0/000052,0
0/000053,0
0/000054,0
0/000055,0
0/000056,0
0/000057,0
0/000058,0
0/000059,0
0/000060,0
0/000061,0
0/000062,0
0/000063,0
0/000064,0
0/000065,0
0/000066,0
0/000067,0
0/000068,0
0/000069,0
0/000070,0
0/000071,0
0/000072,0
1/000000,1
1/000001,1
1/000002,1
1/000003,1
1/000004,1
1/000005,1
1/000006,1
1/000007,1
1/000008,1
1/000009,1
1/000010,1
1/000011,1
1/000012,1
1/000013,1
1/000014,1
1/000015,1
1/000016,1
1/000017,1
1/000018,1
1/000019,1
1/000020,1
1/000021,1
1/000022,1
1/000023,1
1/000024,1
1/000025,1
1/000026,1
1/000027,1
1/000028,1
1/000029,1
1/000030,1
1/000031,1
1/000032,1
1/000033,1
1/000034,1
1/000035,1
1/000036,1
1/000037,1
1/000038,1
1/000039,1
1/000040,1
1/000041,1
1/000042,1
1/000043,1
1/000044,1
1/000045,1
1/000046,1
1/000047,1
1/000048,1
1/000049,1
1/000050,1
1/000051,1
1/000052,1
1/000053,1
1/000054,1
1/000055,1
1/000056,1
1/000057,1
1/000058,1
1/000059,1
1/000060,1
1/000061,1
1/000062,1
1/000063,1
1/000064,1
1/000065,1
1/000066,1
1/000067,1
1/000068,1
1/000069,1
1/000070,1
1/000071,1
1/000072,1
1/000073,1
1/000074,1
1/000075,1
1/000076,1
1/000077,1
1/000078,1
1/000079,1
1/000080,1
1/000081,1
1/000082,1
1/000083,1
1/000084,1
1/000085,1
1/000086,1
1/000087,1
1/000088,1
1/000089,1
1/000090,1
1/000091,1
1/000092,1
1/000093,1
1/000094,1
1/000095,1
1/000096,1
1/000097,1
1/000098,1
1/000099,1
1/000100,1
1/000101,1
1/000102,1
1/000103,1
1/000104,1
1/000105,1
1/000106,1
1/000107,1
1/000108,1
1/000109,1
1/000110,1
1/000111,1
1/000112,1
1/000113,1
1/000114,1
1/000115,1
1/000116,1
1/000117,1
1/000118,1
1/000119,1
1/000120,1
1/000121,1
1/000122,1
1/000123,1
1/000124,1
1/000125,1
1/000126,1
1/000127,1
1/000128,1
1/000129,1
1/000130,1
1/000131,1
1/000132,1
1/000133,1
1/000134,1
1/000135,1
1/000136,1
1/000137,1
1/000138,1
1/000139,1
1/000140,1
1/000141,1
1/000142,1
1/000143,1
1/000144,1
1/000145,1
1/000146,1
1/000147,1
1/000148,1
1/000149,1
1/000150,1
1/000151,1
1/000152,1
1/000153,1
1/000154,1
1/000155,1
1/000156,1
1/000157,1
1/000158,1
1/000159,1
1/000160,1
1/000161,1
1/000162,1
1/000163,1
1/000164,1
1/000165,1
1/000166,1
1/000167,1
1/000168,1
1/000169,1
1/000170,1
1/000171,1
1/000172,1
1/000173,1
1/000174,1
1/000175,1
1/000176,1
1/000177,1
1/000178,1
1/000179,1
1/000180,1
1/000181,1
1/000182,1
1/000183,1
1/000184,1
1/000185,1
1/000186,1
1/000187,1
1/000188,1
1/000189,1
1/000190,1
1/000191,1
1/000192,1
1/000193,1
1/000194,1
1/000195,1
1/000196,1
